threshold,n_approved,approval_rate,total_expected_profit,total_expected_loss,actual_default_rate_approved
0.02,0,0,0,0,NA
0.03,0,0,0,0,NA
0.04,1308,0.00323943592207522,2106019.564493466,215384.6607232048,0.040519877675840976
0.05,16983,0.04206065769465097,36986188.44008292,4533916.118541591,0.0387446269799211
0.06,32647,0.08085463650457929,75384617.43518493,10229898.6216624,0.04521089227187797
0.07,48601,0.12036683887521236,113840867.95568375,16967853.416624814,0.04936112425670254
0.08,61966,0.15346703849182958,145334319.60652718,22916666.204416595,0.05477197172643063
0.09000000000000001,75103,0.18600256579175478,180457326.1688907,29615434.78175809,0.059558206729424926
0.1,89049,0.22054168916274947,219396074.57261935,37368069.86896358,0.0650091522644836
0.11,102939,0.25494212108753905,259894980.89057443,46020848.068159446,0.07111007489872644
0.12000000000000001,118746,0.29409025841188385,304267934.4970068,56295781.03592583,0.07745945126572684
0.13,134326,0.33267620005250464,352157467.49908674,67707256.46956319,0.0829921236395039
0.13999999999999999,152336,0.3772803598052376,407371073.5442673,81780380.6185001,0.0888759058922382
0.15,167074,0.4137809764868466,456826329.2935277,94958658.93983312,0.09400026335635707
0.16,181447,0.4493776221351548,504406285.50405765,108500368.822775,0.09896553814612531
0.16999999999999998,196468,0.48657912594669295,556497870.8355454,123641570.66075462,0.10405256835718794
0.18,209486,0.5188199339234324,605379330.2112399,138382331.3773909,0.10875667109019219
0.19,221158,0.5477271939253147,650398475.6010401,151929224.25825456,0.11328100272203583
0.19999999999999998,232924,0.5768672574261839,695501749.640544,166817808.2737151,0.11727001081897959
0.21,244117,0.6045882102364194,739257144.9959646,181224369.0756611,0.12136393614537291
0.22,254593,0.6305334172086365,781795850.0667766,195853657.1591502,0.12531373604144655
0.22999999999999998,265652,0.657922501201167,828905231.1998147,212061142.94222826,0.12936096848508574
0.24,275623,0.6826170085245706,874242592.6419322,228207701.4500186,0.13332704454998312
0.25,284559,0.7047482007261487,915044803.8969215,243278762.46055332,0.13692063860218795
0.26,293868,0.7278031770247713,957663506.7557169,259384606.63952368,0.14071623994446486
0.27,302208,0.7484582959774527,998085466.9130547,275033167.29623765,0.14409942820838628
0.28,310105,0.7680162665253335,1036256895.6771609,290497724.24535465,0.14726624852872414
0.29000000000000004,317262,0.7857415286769331,1073198432.5708718,305674701.506509,0.15035837887928588
0.30000000000000004,323910,0.8022061846478475,1109759947.900928,320952473.6908168,0.15321231206199254
0.31,330174,0.8177198135590702,1143149244.6311781,334917977.13148224,0.15602682222101075
0.32,335939,0.831997602619287,1174978721.2628682,348796738.7329424,0.15858831514054636
0.33,342124,0.8473155775260418,1211123358.063709,364569968.40654385,0.16152623025569676
0.34,347779,0.8613209369597844,1245350054.7745602,379330869.3950035,0.1641933526751184
0.35000000000000003,352543,0.873119616419086,1273954161.356671,392754301.65703475,0.16668321311159207
0.36000000000000004,357179,0.8846012868584902,1304915318.8026724,406623809.43676686,0.1688817091710319
0.37000000000000005,361707,0.8958154809373561,1337922160.9392338,421175476.84944654,0.17112745951833944
0.38,365827,0.9060192087652994,1364013551.4450724,434141647.18365484,0.17344263818690256
0.39,369826,0.9159232640041212,1394179656.6744053,448242111.1357337,0.17565017062077842
0.4,372861,0.9234398450618415,1417069952.1648335,459007538.96337545,0.17725908582554892
0.41000000000000003,376517,0.9324944151926573,1443106187.5383165,472097243.67426246,0.17935445145903106
0.42000000000000004,380042,0.9412245464046719,1469409814.3372388,485296686.54707384,0.18150625457186312
0.43000000000000005,382906,0.9483176232248733,1488796804.4371989,496159141.12572247,0.18323818378400966
0.44,385990,0.9559555592980231,1511073353.0823677,508496368.6959243,0.18529754656856395
0.45,388510,0.9621966743772506,1529043753.7589135,519020562.3215355,0.1869990476435613
0.46,390702,0.9676254538429914,1544008825.361826,528192127.2000494,0.1885452339634811
0.47000000000000003,393027,0.9733836254934691,1560051434.3969872,538396706.573681,0.19010144341228466
0.48000000000000004,394856,0.977913387191845,1570865825.5101616,545904214.2311656,0.19145207366736228
0.49000000000000005,396567,0.982150906200003,1582733296.817953,554116155.1893358,0.1926837079232513
0.5,397739,0.9850535200384374,1589774414.5301113,559144130.2663686,0.1936194338498362
0.51,398897,0.9879214610153204,1597096214.216581,564636602.7755699,0.1944837890483007
0.52,399810,0.9901826269150564,1601769211.2544878,568474377.8747417,0.19527275455841525
0.53,400782,0.9925899141599013,1607430674.5861986,573557750.8784263,0.19609663108622644
0.54,401472,0.9942987909077851,1610552197.755281,576495906.8898156,0.19671359397417504
0.55,402300,0.9963494430052455,1614792852.4852104,580766149.1268102,0.19745215013671388
0.56,402709,0.997362385889136,1616626554.5230465,582946492.6686032,0.19785502683078848
0.5700000000000001,403335,0.998912758127071,1619156321.9203885,586022705.9264102,0.19854711344168
0.5800000000000001,403600,0.9995690658635772,1619947692.7728987,587154986.152628,0.19880822596630326
0.5900000000000001,403774,1,1620634983.529547,588098465.4364257,0.19897269264489542
0.6,403774,1,1620634983.529547,588098465.4364257,0.19897269264489542
